City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Carauari,BR,2022-02-06 17:18:55,-4.8828,-66.8958,79.97,80,98,0.63
68,Ushuaia,AR,2022-02-06 17:20:11,-54.8,-68.3,55.06,58,75,5.75
69,Viedma,AR,2022-02-06 17:23:35,-40.8135,-62.9967,72.81,31,15,7.31
70,Port Alfred,ZA,2022-02-06 17:22:28,-33.5906,26.891,76.17,81,0,30.58
71,Busselton,AU,2022-02-06 17:18:44,-33.65,115.3333,55.09,66,77,18.95
72,Ushuaia,AR,2022-02-06 17:20:11,-54.8,-68.3,55.06,58,75,5.75
73,Agadir,MA,2022-02-06 17:23:35,30.4202,-9.5982,81.05,40,20,10.83
74,Farah,AF,2022-02-06 17:23:36,32.5,62.5,47.12,44,0,5.37
75,Matara,LK,2022-02-06 17:23:36,5.9485,80.5353,77.16,78,87,2.48
76,Sao Filipe,CV,2022-02-06 17:23:36,14.8961,-24.4956,75.13,68,0,10.58
77,Mitoc,RO,2022-02-06 17:23:37,48.1,27.0333,42.89,59,100,8.86
78,Arraial Do Cabo,BR,2022-02-06 17:23:37,-22.9661,-42.0278,91.36,58,0,18.41
79,Mumford,GH,2022-02-06 17:23:37,5.2618,-0.759,82.81,71,79,11.95
80,Vagay,RU,2022-02-06 17:23:37,57.9375,69.0217,9.61,95,100,4.72
81,Port Alfred,ZA,2022-02-06 17:22:28,-33.5906,26.891,76.17,81,0,30.58
82,East London,ZA,2022-02-06 17:23:31,-33.0153,27.9116,74.34,88,40,16.11
83,Castellamonte,IT,2022-02-06 17:23:38,45.382,7.7121,46.63,80,98,2.71
84,Padang,ID,2022-02-06 17:22:40,-0.9492,100.3543,77.92,75,100,2.64
85,Loum,CM,2022-02-06 17:23:38,4.7182,9.7351,90.1,37,5,7.09
86,Saint George,US,2022-02-06 17:10:33,37.1041,-113.5841,48.25,32,0,1.99
87,Ilo,PE,2022-02-06 17:23:39,-17.6394,-71.3375,72.9,69,88,6.82
88,Ilulissat,GL,2022-02-06 17:22:39,69.2167,-51.1,1.42,46,100,6.91
89,Hit,IQ,2022-02-06 17:23:39,33.6416,42.8251,57.85,42,52,4.16
90,Mwanza,TZ,2022-02-06 17:23:39,-2.5167,32.9,72.99,62,47,3.8
91,Kasimov,RU,2022-02-06 17:23:40,54.9411,41.3953,14.0,98,96,5.44
92,Port Elizabeth,ZA,2022-02-06 17:21:42,-33.918,25.5701,79.11,83,20,13.8
93,Busselton,AU,2022-02-06 17:18:44,-33.65,115.3333,55.09,66,77,18.95
94,Alexandria,EG,2022-02-06 17:19:21,31.2156,29.9553,58.5,58,0,6.93
95,Hermanus,ZA,2022-02-06 17:23:10,-34.4187,19.2345,73.9,79,7,9.53
96,Ostrovnoy,RU,2022-02-06 17:13:40,68.0531,39.5131,14.68,85,100,22.1
97,Ribeira Grande,PT,2022-02-06 17:23:13,38.5167,-28.7,63.0,82,40,11.5
98,Saldanha,ZA,2022-02-06 17:24:41,-33.0117,17.9442,71.65,92,43,11.32
99,Contamana,PE,2022-02-06 17:20:25,-7.3333,-75.0167,88.56,62,100,5.59
100,Ushuaia,AR,2022-02-06 17:20:11,-54.8,-68.3,55.06,58,75,5.75
101,Georgetown,MY,2022-02-06 17:21:14,5.4112,100.3354,77.95,94,40,0.0
102,Bredasdorp,ZA,2022-02-06 17:24:41,-34.5322,20.0403,74.52,60,25,8.05
103,Saint-Leu,RE,2022-02-06 17:24:41,-21.15,55.2833,79.63,77,100,2.73
104,Jamestown,US,2022-02-06 17:18:41,42.097,-79.2353,31.51,40,0,8.01
105,Kruisfontein,ZA,2022-02-06 17:22:45,-34.0033,24.7314,76.89,67,64,10.22
106,Souillac,MU,2022-02-06 17:22:31,-20.5167,57.5167,79.36,83,40,11.5
107,Ushuaia,AR,2022-02-06 17:20:11,-54.8,-68.3,55.06,58,75,5.75
108,Laela,TZ,2022-02-06 17:24:42,-8.5667,32.05,60.08,98,100,4.18
109,Puerto Baquerizo Moreno,EC,2022-02-06 17:22:43,-0.9,-89.6,81.59,69,20,17.27
110,Ribeira Grande,PT,2022-02-06 17:23:13,38.5167,-28.7,63.0,82,40,11.5
111,Rio Grande,BR,2022-02-06 17:23:22,-32.035,-52.0986,73.51,58,67,13.89
112,Kurkino,RU,2022-02-06 17:24:43,53.4257,38.6582,22.89,97,83,8.43
113,Antofagasta,CL,2022-02-06 17:20:31,-23.65,-70.4,73.22,60,0,8.01
114,Mizdah,LY,2022-02-06 17:24:43,31.4451,12.9801,59.85,18,95,2.59
115,Dhidhdhoo,MV,2022-02-06 17:24:43,6.8833,73.1,80.91,67,89,9.28
116,Port Alfred,ZA,2022-02-06 17:22:28,-33.5906,26.891,76.17,81,0,30.58
117,Santa Cruz De Tenerife,ES,2022-02-06 17:24:44,28.4682,-16.2546,70.72,75,20,5.99
118,Trairi,BR,2022-02-06 17:24:44,-3.2778,-39.2689,86.22,61,53,11.54
119,Nanortalik,GL,2022-02-06 17:24:44,60.1432,-45.2371,13.73,72,100,18.48
120,Ushuaia,AR,2022-02-06 17:20:11,-54.8,-68.3,55.06,58,75,5.75
121,Marzuq,YE,2022-02-06 17:24:45,14.4,46.4667,68.49,34,39,1.14
122,Acara,BR,2022-02-06 17:24:45,-1.9608,-48.1967,83.14,83,99,4.25
123,Port Alfred,ZA,2022-02-06 17:22:28,-33.5906,26.891,76.17,81,0,30.58
124,Bathsheba,BB,2022-02-06 17:09:49,13.2167,-59.5167,84.81,61,40,18.41
125,Saint George,US,2022-02-06 17:23:24,37.1041,-113.5841,48.34,32,0,4.0
126,Torbay,CA,2022-02-06 17:23:21,47.6666,-52.7314,17.76,84,100,17.27
127,Clyde River,CA,2022-02-06 17:22:28,70.4692,-68.5914,-30.77,68,0,5.75
128,Hermanus,ZA,2022-02-06 17:23:10,-34.4187,19.2345,73.9,79,7,9.53
129,Chipinge,ZW,2022-02-06 17:24:46,-20.1883,32.6236,63.12,94,63,1.83
130,Salalah,OM,2022-02-06 17:24:46,17.0151,54.0924,77.09,78,0,1.14
131,Ushuaia,AR,2022-02-06 17:20:11,-54.8,-68.3,55.06,58,75,5.75
132,Brae,GB,2022-02-06 17:22:25,60.3964,-1.353,39.11,59,100,30.4
133,Toul,FR,2022-02-06 17:24:47,48.6667,5.9167,49.05,93,100,32.21
134,Torbay,CA,2022-02-06 17:23:21,47.6666,-52.7314,17.76,84,100,17.27
135,Pangnirtung,CA,2022-02-06 17:22:10,66.1451,-65.7125,-31.0,61,40,2.3
136,Kalamazoo,US,2022-02-06 17:20:27,42.2506,-85.55,31.03,64,0,13.8
137,Jamestown,US,2022-02-06 17:18:41,42.097,-79.2353,31.51,40,0,8.01
138,Cape Town,ZA,2022-02-06 17:21:38,-33.9258,18.4232,75.88,51,0,1.01
139,Ushuaia,AR,2022-02-06 17:20:11,-54.8,-68.3,55.06,58,75,5.75
140,Ushuaia,AR,2022-02-06 17:20:11,-54.8,-68.3,55.06,58,75,5.75
141,Dombasle-Sur-Meurthe,FR,2022-02-06 17:24:47,48.6252,6.3497,49.44,87,100,23.02
142,Samfya,ZM,2022-02-06 17:25:48,-11.3649,29.5565,66.4,91,99,3.06
143,Talara,PE,2022-02-06 17:25:48,-4.5772,-81.2719,84.96,48,0,18.41
144,Bambous Virieux,MU,2022-02-06 17:25:48,-20.3428,57.7575,79.21,83,40,11.5
145,Kruisfontein,ZA,2022-02-06 17:22:45,-34.0033,24.7314,76.89,67,64,10.22
146,Tasiilaq,GL,2022-02-06 17:22:29,65.6145,-37.6368,23.16,60,100,26.24
147,Kanniyakumari,IN,2022-02-06 17:25:49,8.0833,77.5667,78.82,76,62,7.96
148,East London,ZA,2022-02-06 17:23:31,-33.0153,27.9116,74.34,88,40,16.11
149,Kruisfontein,ZA,2022-02-06 17:22:45,-34.0033,24.7314,76.89,67,64,10.22
150,Awjilah,LY,2022-02-06 17:25:49,29.1081,21.2869,62.92,26,4,3.22
151,Kita,ML,2022-02-06 17:25:50,13.0349,-9.4895,95.27,5,2,4.56
152,Busselton,AU,2022-02-06 17:18:44,-33.65,115.3333,55.09,66,77,18.95
153,Bredasdorp,ZA,2022-02-06 17:24:41,-34.5322,20.0403,74.52,60,25,8.05
154,Florianopolis,BR,2022-02-06 17:24:09,-27.6146,-48.5012,86.25,63,40,17.27
155,Nuuk,GL,2022-02-06 17:25:50,64.1835,-51.7216,7.41,72,75,21.85
156,Chimoio,MZ,2022-02-06 17:25:51,-19.1164,33.4833,71.46,94,75,14.97
157,Ushuaia,AR,2022-02-06 17:20:11,-54.8,-68.3,55.06,58,75,5.75
