City_ID,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Hotel Name
734,734,Esik,KZ,2022-02-06 17:40:48,43.3552,77.4525,31.42,70,100,5.64,"Gostevoy Dom ""Asyl Tau"""
765,765,Jamestown,US,2022-02-06 17:29:04,42.097,-79.2353,31.51,40,0,5.01,Hampton Inn & Suites Jamestown
769,769,Wlodawa,PL,2022-02-06 17:40:19,51.55,23.55,35.91,97,100,15.28,Ośrodek Wypoczynkowy Ranczo
795,795,Klaksvik,FO,2022-02-06 17:42:01,62.2266,-6.589,36.52,60,88,36.8,Airbnb rooms
816,816,Boardman,US,2022-02-06 17:41:58,41.0242,-80.6628,33.89,67,26,1.01,Red Roof Inn Boardman
829,829,Sorland,NO,2022-02-06 17:43:08,67.667,12.6934,35.46,61,100,16.64,Sjybrygga fiskecamp
835,835,Westport,US,2022-02-06 17:43:10,41.1415,-73.3579,30.29,61,72,1.01,The Westport Inn
841,841,Jamestown,US,2022-02-06 17:43:06,42.097,-79.2353,32.02,39,0,7.0,Hampton Inn & Suites Jamestown
850,850,Jamestown,US,2022-02-06 17:43:06,42.097,-79.2353,32.02,39,0,7.0,Hampton Inn & Suites Jamestown
853,853,Havoysund,NO,2022-02-06 17:43:14,70.9963,24.6622,30.43,73,26,29.46,Arctic View Glamping & Restaurant
854,854,Jamestown,US,2022-02-06 17:43:06,42.097,-79.2353,32.02,39,0,7.0,Hampton Inn & Suites Jamestown
870,870,Jamestown,US,2022-02-06 17:43:06,42.097,-79.2353,32.02,39,0,7.0,Hampton Inn & Suites Jamestown
878,878,Zhanaozen,KZ,2022-02-06 17:44:20,43.3,52.8,30.42,71,68,7.4,K.korabay 28A
904,904,Jamestown,US,2022-02-06 17:43:06,42.097,-79.2353,32.02,39,0,7.0,Hampton Inn & Suites Jamestown
907,907,Klaksvik,FO,2022-02-06 17:42:01,62.2266,-6.589,36.52,60,88,36.8,Airbnb rooms
931,931,Visby,SE,2022-02-06 17:45:32,57.6409,18.296,37.76,87,20,13.8,Best Western Solhem Hotel Visby
976,976,Brae,GB,2022-02-06 17:46:41,60.3964,-1.353,37.31,59,98,30.53,Busta House Hotel
999,999,Jumla,NP,2022-02-06 17:47:46,29.2747,82.1838,33.87,63,44,5.55,Royal Garden Hotel
1003,1003,Ladozhskaya,RU,2022-02-06 17:47:47,45.3081,39.935,33.06,79,100,11.27,Gostinichnyy Kompleks
1006,1006,Virginia Beach,US,2022-02-06 17:42:54,36.8529,-75.978,39.99,73,100,9.22,Hilton Virginia Beach Oceanfront
1026,1026,Uusikaupunki,FI,2022-02-06 17:47:52,60.8004,21.4084,32.52,95,57,8.3,Hotel Aquarius
1038,1038,Stornoway,GB,2022-02-06 17:48:55,58.2093,-6.3865,38.03,74,20,7.0,Caladh Inn
1070,1070,Jamestown,US,2022-02-06 17:43:06,42.097,-79.2353,32.02,39,0,7.0,Hampton Inn & Suites Jamestown
1079,1079,Havoysund,NO,2022-02-06 17:43:14,70.9963,24.6622,30.43,73,26,29.46,Arctic View Glamping & Restaurant
1081,1081,Jamestown,US,2022-02-06 17:43:06,42.097,-79.2353,32.02,39,0,7.0,Hampton Inn & Suites Jamestown
1121,1121,Jamestown,US,2022-02-06 17:43:06,42.097,-79.2353,32.02,39,0,7.0,Hampton Inn & Suites Jamestown
1209,1209,Jamestown,US,2022-02-06 17:43:06,42.097,-79.2353,32.02,39,0,7.0,Hampton Inn & Suites Jamestown
1219,1219,Jamestown,US,2022-02-06 17:53:32,42.097,-79.2353,32.52,38,0,8.01,Hampton Inn & Suites Jamestown
1221,1221,Klaksvik,FO,2022-02-06 17:48:37,62.2266,-6.589,36.52,60,80,35.99,Airbnb rooms
1239,1239,Sorland,NO,2022-02-06 17:53:36,67.667,12.6934,35.46,61,100,16.64,Sjybrygga fiskecamp
1242,1242,Vestmannaeyjar,IS,2022-02-06 17:53:37,63.4427,-20.2734,31.19,69,0,11.5,Glamping & Camping
1250,1250,Larsnes,NO,2022-02-06 17:53:40,62.2028,5.5773,39.67,68,100,13.22,Liset Feriesenter AS
1257,1257,Nara,JP,2022-02-06 17:53:41,34.6851,135.8049,38.48,62,18,3.2,Guesthouse Nara Komachi
1258,1258,Inverness,GB,2022-02-06 17:50:04,57.4791,-4.224,37.98,85,20,5.99,Glen Mhor Hotel & Apartments
1274,1274,Jamestown,US,2022-02-06 17:53:32,42.097,-79.2353,32.52,38,0,8.01,Hampton Inn & Suites Jamestown
1280,1280,Laurel,US,2022-02-06 17:51:48,39.0993,-76.8483,36.5,44,0,1.01,Days Inn & Suites by Wyndham Laurel Near Fort Meade
1317,1317,Jamestown,US,2022-02-06 17:53:32,42.097,-79.2353,32.52,38,0,8.01,Hampton Inn & Suites Jamestown
1327,1327,Jamestown,US,2022-02-06 17:53:32,42.097,-79.2353,32.52,38,0,8.01,Hampton Inn & Suites Jamestown
1347,1347,Charlottesville,US,2022-02-06 17:56:58,38.0293,-78.4767,37.71,51,0,1.99,Hampton Inn & Suites Charlottesville-At The University
1367,1367,Blyth,GB,2022-02-06 17:57:03,55.1271,-1.5086,38.46,77,20,7.0,Carlton house
1396,1396,Shache,CN,2022-02-06 17:58:08,38.4167,77.2406,32.72,55,100,3.18,Delong Hotel
1407,1407,Zhurivka,UA,2022-02-06 17:58:10,50.5028,31.7849,33.78,92,98,10.22,Наш двир
1414,1414,Klaksvik,FO,2022-02-06 17:48:37,62.2266,-6.589,36.52,60,80,35.99,Airbnb rooms
1420,1420,Give,DK,2022-02-06 17:58:13,55.8398,9.25,38.55,100,40,13.8,Diagonalkroen ApS
1435,1435,Jamestown,US,2022-02-06 17:53:32,42.097,-79.2353,32.52,38,0,8.01,Hampton Inn & Suites Jamestown
1447,1447,Floro,NO,2022-02-06 17:59:18,61.5996,5.0328,37.96,93,100,10.36,Kinn Hotell Florø
1466,1466,Jamestown,US,2022-02-06 17:53:32,42.097,-79.2353,32.52,38,0,8.01,Hampton Inn & Suites Jamestown
1475,1475,Shieli,KZ,2022-02-06 17:59:23,44.1667,66.75,32.68,90,100,19.8,Gostinitsa Aybek Shieli
1504,1504,Jamestown,US,2022-02-06 17:53:32,42.097,-79.2353,32.52,38,0,8.01,Hampton Inn & Suites Jamestown
1512,1512,Jamestown,US,2022-02-06 17:53:32,42.097,-79.2353,32.52,38,0,8.01,Hampton Inn & Suites Jamestown
1531,1531,Yarmouth,US,2022-02-06 18:01:36,41.7057,-70.2286,32.25,60,0,3.44,Blue Rock Resort
1550,1550,Yarmouth,US,2022-02-06 18:01:36,41.7057,-70.2286,32.25,60,0,3.44,Blue Rock Resort
1551,1551,Jamestown,US,2022-02-06 17:53:32,42.097,-79.2353,32.52,38,0,8.01,Hampton Inn & Suites Jamestown
1559,1559,Jamestown,US,2022-02-06 17:53:32,42.097,-79.2353,32.52,38,0,8.01,Hampton Inn & Suites Jamestown
1568,1568,Jamestown,US,2022-02-06 17:53:32,42.097,-79.2353,32.52,38,0,8.01,Hampton Inn & Suites Jamestown
1607,1607,Gilgit,PK,2022-02-06 18:02:51,35.9221,74.3087,32.81,90,91,1.66,Tourist Hamlet Gilgit
1620,1620,Tromso,NO,2022-02-06 18:03:54,69.6496,18.957,30.22,64,0,19.57,"Radisson Blu Hotel, Tromsø"
1621,1621,Jamestown,US,2022-02-06 18:02:20,42.097,-79.2353,33.53,36,0,5.01,Hampton Inn & Suites Jamestown
1632,1632,Jamestown,US,2022-02-06 18:02:20,42.097,-79.2353,33.53,36,0,5.01,Hampton Inn & Suites Jamestown
1633,1633,Andenes,NO,2022-02-06 18:03:56,69.3143,16.1194,33.78,64,87,11.5,Hotell Marena
1641,1641,Klaksvik,FO,2022-02-06 18:03:58,62.2266,-6.589,36.52,60,80,35.99,Airbnb rooms
1644,1644,Kadoma,JP,2022-02-06 18:03:59,34.7333,135.5833,39.18,62,13,3.42,Hotel Agora Osaka Moriguchi
1664,1664,Pietarsaari,FI,2022-02-06 18:05:04,63.65,22.6833,32.9,87,96,13.51,Jakobstad City Hotel Pietarsaari
1696,1696,Jamestown,US,2022-02-06 18:02:20,42.097,-79.2353,33.53,36,0,5.01,Hampton Inn & Suites Jamestown
1699,1699,Nantucket,US,2022-02-06 18:05:07,41.2835,-70.0995,32.97,69,98,4.25,Jared Coffin House
1701,1701,Jamestown,US,2022-02-06 18:02:20,42.097,-79.2353,33.53,36,0,5.01,Hampton Inn & Suites Jamestown
1725,1725,Tal,PK,2022-02-06 18:06:16,35.4791,72.2439,31.51,97,100,3.98,Guest Rooms Transport Parking
1737,1737,Jamestown,US,2022-02-06 18:02:20,42.097,-79.2353,33.53,36,0,5.01,Hampton Inn & Suites Jamestown
1746,1746,Brigantine,US,2022-02-06 18:06:20,39.4101,-74.3646,37.99,59,0,9.22,Legacy Vacation Resorts - Brigantine Beach
1768,1768,Jamestown,US,2022-02-06 18:02:20,42.097,-79.2353,33.53,36,0,5.01,Hampton Inn & Suites Jamestown
